Time,Tv_avg,rho_V_avg,Q_VL,Q_L,Q_V,Q_Vw,Q_env_w,Q_w_L,Q_tot,V_L,B_L,BOG,dV_L,Tw_avg,drho_V_avg,T_w_raw_0,T_w_raw_1,T_w_raw_2,T_w_raw_3,T_w_raw_4,T_w_raw_5,T_w_raw_6,T_w_raw_7,T_w_raw_8,T_w_raw_9,T_w_raw_10,T_w_raw_11,T_w_raw_12,T_w_raw_13,T_w_raw_14,T_w_raw_15,T_w_raw_16,T_w_raw_17,T_w_raw_18,T_w_raw_19,T_w_raw_20,T_w_raw_21,T_w_raw_22,T_w_raw_23,T_w_raw_24,T_w_raw_25,T_w_raw_26,T_w_raw_27,T_w_raw_28,T_w_raw_29,T_w_raw_30,T_w_raw_31,T_w_raw_32,T_w_raw_33,T_w_raw_34,T_w_raw_35,T_w_raw_36,T_w_raw_37,T_w_raw_38,T_w_raw_39,T_w_raw_40,T_w_raw_41,T_w_raw_42,T_w_raw_43,T_w_raw_44,T_w_raw_45,T_w_raw_46,T_V_raw_0,T_V_raw_1,T_V_raw_2,T_V_raw_3,T_V_raw_4,T_V_raw_5,T_V_raw_6,T_V_raw_7,T_V_raw_8,T_V_raw_9,T_V_raw_10,T_V_raw_11,T_V_raw_12,T_V_raw_13,T_V_raw_14,T_V_raw_15,T_V_raw_16,T_V_raw_17,T_V_raw_18,T_V_raw_19,T_V_raw_20,T_V_raw_21,T_V_raw_22,T_V_raw_23,T_V_raw_24,T_V_raw_25,T_V_raw_26,T_V_raw_27,T_V_raw_28,T_V_raw_29,T_V_raw_30,Q_b,Q_L_inst,T_BOG
0,239.834,0.88994,-3.42331e-11,1.26195e+06,1007.61,705.327,-1.97071e-09,-1.26195e+06,1.27258e+06,83622.5,0.929116,0.929116,0,278.211,0,241.531,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,278.479,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,239.834,9926.68,19130.7,239.834
3600,239.943,0.889514,32.6205,95104.9,1055.58,738.905,-9051.35,-95104.9,106302,83621.7,0.0776113,0.0779909,-0.00015903,273.669,-1.1837e-07,239.96,244.097,248.154,252.063,255.764,259.202,262.341,265.155,267.634,269.777,271.598,273.117,274.364,275.367,276.162,276.779,277.252,277.606,277.868,278.057,278.193,278.287,278.353,278.397,278.427,278.447,278.461,278.47,278.477,278.483,278.49,278.497,278.508,278.521,278.54,278.566,278.602,278.649,278.711,278.791,278.895,279.027,279.192,279.396,279.646,279.949,280.311,239.834,239.859,239.881,239.898,239.912,239.924,239.933,239.94,239.945,239.949,239.952,239.954,239.956,239.957,239.957,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,239.958,10425.3,20091.7,239.958
7200,240.044,0.889088,47.692,67044.2,1100.2,770.142,-12343.1,-67044.2,78752,83621.4,0.0574971,0.0579276,-8.82273e-05,271.892,-1.15603e-07,239.924,242.854,245.755,248.603,251.373,254.044,256.594,259.01,261.276,263.384,265.325,267.099,268.704,270.145,271.425,272.554,273.539,274.393,275.125,275.749,276.275,276.716,277.083,277.387,277.636,277.842,278.01,278.152,278.27,278.374,278.467,278.555,278.642,278.733,278.832,278.943,279.07,279.216,279.385,279.582,279.811,280.075,280.38,280.728,281.125,281.574,282.08,239.834,239.872,239.905,239.935,239.96,239.982,240.001,240.018,240.031,240.043,240.052,240.06,240.066,240.071,240.075,240.079,240.081,240.083,240.084,240.085,240.086,240.087,240.087,240.088,240.088,240.088,240.088,240.088,240.088,240.088,240.088,10890,20987.1,240.088
10800,240.141,0.888682,59.7991,54699.7,1138.27,796.789,-14005.3,-54699.7,66845.3,83621.1,0.048804,0.0492242,-7.34398e-05,270.657,-1.10281e-07,239.908,242.302,244.681,247.03,249.336,251.586,253.769,255.873,257.89,259.811,261.632,263.345,264.949,266.44,267.821,269.09,270.252,271.307,272.263,273.122,273.894,274.58,275.192,275.733,276.213,276.637,277.015,277.35,277.653,277.927,278.181,278.42,278.65,278.876,279.105,279.339,279.587,279.85,280.134,280.444,280.782,281.153,281.56,282.007,282.497,283.031,283.613,239.834,239.882,239.925,239.964,239.999,240.03,240.058,240.083,240.104,240.123,240.139,240.153,240.166,240.176,240.185,240.192,240.198,240.203,240.207,240.21,240.213,240.215,240.217,240.218,240.22,240.22,240.221,240.221,240.222,240.222,240.222,11289,21756.1,240.222
14400,240.233,0.888294,70.2417,47383.8,1167.02,816.912,-14663.1,-47383.8,59866.1,83620.8,0.0437085,0.0441126,-6.53494e-05,269.7,-1.04987e-07,239.898,241.974,244.039,246.085,248.103,250.085,252.021,253.906,255.732,257.494,259.185,260.803,262.344,263.804,265.183,266.481,267.695,268.829,269.884,270.861,271.765,272.598,273.364,274.069,274.717,275.312,275.86,276.368,276.838,277.279,277.694,278.09,278.471,278.843,279.211,279.58,279.953,280.337,280.734,281.149,281.585,282.045,282.532,283.049,283.598,284.18,284.798,239.834,239.891,239.942,239.99,240.033,240.072,240.108,240.14,240.169,240.195,240.218,240.238,240.256,240.272,240.286,240.298,240.308,240.317,240.325,240.331,240.337,240.341,240.345,240.348,240.351,240.353,240.354,240.356,240.357,240.357,240.357,11595.1,22346.1,240.357
18000,240.321,0.887926,79.4066,42445.5,1184.33,829.033,-14484.9,-42445.5,55141.5,83620.6,0.040259,0.0406423,-6.00076e-05,268.907,-9.91455e-08,239.891,241.752,243.605,245.444,247.263,249.056,250.817,252.541,254.222,255.857,257.44,258.97,260.442,261.854,263.205,264.494,265.72,266.882,267.982,269.021,269.999,270.92,271.786,272.6,273.364,274.082,274.759,275.398,276.003,276.578,277.127,277.656,278.167,278.666,279.156,279.642,280.126,280.614,281.107,281.609,282.122,282.65,283.193,283.754,284.333,284.931,285.548,239.834,239.898,239.957,240.012,240.063,240.11,240.153,240.192,240.228,240.26,240.289,240.316,240.34,240.361,240.38,240.397,240.412,240.425,240.436,240.446,240.455,240.462,240.469,240.474,240.479,240.482,240.485,240.488,240.489,240.49,240.491,11787.6,22717,240.491
21600,240.403,0.88758,87.4004,38870.4,1188.9,832.233,-13535.5,-38870.4,51643.3,83620.4,0.0377049,0.0380625,-5.61061e-05,268.21,-9.25192e-08,239.887,241.591,243.29,244.978,246.651,248.305,249.935,251.537,253.107,254.642,256.138,257.593,259.003,260.369,261.686,262.956,264.175,265.345,266.465,267.537,268.559,269.535,270.465,271.352,272.196,273.002,273.771,274.507,275.211,275.888,276.54,277.171,277.783,278.38,278.964,279.54,280.108,280.673,281.235,281.797,282.36,282.927,283.497,284.072,284.65,285.232,285.816,239.834,239.905,239.971,240.033,240.09,240.143,240.193,240.238,240.281,240.319,240.355,240.387,240.416,240.443,240.467,240.489,240.508,240.526,240.541,240.555,240.567,240.578,240.587,240.595,240.602,240.607,240.612,240.615,240.618,240.62,240.62,11853.2,22843.5,240.62
25200,240.48,0.88726,94.2511,36179.3,1180.29,826.206,-11815.3,-36179.3,48887.4,83620.2,0.0356928,0.0360203,-5.30532e-05,267.559,-8.50557e-08,239.883,241.47,243.052,244.626,246.189,247.736,249.266,250.773,252.256,253.711,255.137,256.53,257.888,259.211,260.496,261.743,262.951,264.118,265.246,266.333,267.381,268.39,269.362,270.296,271.195,272.06,272.894,273.697,274.471,275.22,275.944,276.647,277.33,277.994,278.643,279.278,279.9,280.511,281.112,281.704,282.287,282.861,283.427,283.983,284.529,285.062,285.581,239.834,239.911,239.982,240.05,240.113,240.173,240.228,240.28,240.328,240.372,240.413,240.451,240.486,240.518,240.547,240.573,240.597,240.619,240.639,240.656,240.672,240.686,240.698,240.708,240.718,240.725,240.731,240.736,240.74,240.742,240.743,11787.6,22717,240.743
28800,240.549,0.886968,99.9604,34093.6,1158.98,811.283,-9500.62,-34093.6,46600,83620,0.0340228,0.0343164,-5.05356e-05,266.918,-7.68405e-08,239.88,241.376,242.868,244.353,245.83,247.294,248.744,250.177,251.59,252.982,254.349,255.691,257.005,258.291,259.546,260.77,261.962,263.122,264.248,265.342,266.402,267.43,268.425,269.389,270.322,271.225,272.099,272.945,273.765,274.559,275.328,276.075,276.8,277.504,278.187,278.852,279.498,280.126,280.735,281.327,281.899,282.452,282.984,283.493,283.977,284.433,284.86,239.834,239.915,239.992,240.065,240.134,240.198,240.259,240.316,240.369,240.419,240.465,240.508,240.548,240.585,240.618,240.65,240.678,240.704,240.727,240.749,240.768,240.785,240.8,240.814,240.825,240.835,240.843,240.849,240.854,240.856,240.857,11595.1,22346.1,240.857
32400,240.612,0.886706,104.553,32441.5,1126.3,788.407,-6764.35,-32441.5,44623.5,83619.8,0.0325797,0.0328366,-4.837e-05,266.259,-6.80674e-08,239.878,241.301,242.722,244.137,245.545,246.943,248.329,249.701,251.058,252.397,253.716,255.014,256.29,257.542,258.77,259.971,261.146,262.293,263.413,264.504,265.567,266.601,267.608,268.585,269.535,270.457,271.353,272.221,273.063,273.88,274.671,275.437,276.178,276.895,277.588,278.255,278.899,279.516,280.108,280.672,281.208,281.714,282.187,282.625,283.026,283.385,283.7,239.834,239.919,240,240.077,240.15,240.22,240.285,240.347,240.405,240.459,240.51,240.558,240.602,240.644,240.682,240.717,240.75,240.78,240.807,240.832,240.855,240.875,240.893,240.909,240.923,240.935,240.944,240.952,240.958,240.961,240.962,11289,21756.1,240.962
36000,240.667,0.886477,108.078,31104.3,1084.38,759.068,-3894.46,-31104.3,42861.4,83619.7,0.0312932,0.0315119,-4.64451e-05,265.565,-5.90103e-08,239.876,241.241,242.603,243.961,245.313,246.656,247.99,249.313,250.622,251.916,253.194,254.455,255.696,256.918,258.118,259.296,260.451,261.583,262.69,263.772,264.829,265.86,266.865,267.844,268.796,269.722,270.622,271.495,272.34,273.159,273.951,274.715,275.452,276.159,276.838,277.487,278.105,278.691,279.243,279.76,280.239,280.679,281.077,281.429,281.733,281.985,282.182,239.834,239.922,240.007,240.087,240.164,240.237,240.307,240.372,240.435,240.493,240.549,240.6,240.649,240.695,240.737,240.776,240.813,240.847,240.878,240.906,240.932,240.955,240.976,240.994,241.01,241.024,241.035,241.044,241.051,241.055,241.056,10890,20987.1,241.056
39600,240.714,0.886281,110.63,29986.6,1036,725.2,-1157.42,-29986.6,41247.8,83619.5,0.0301152,0.0302957,-4.46921e-05,264.829,-4.99954e-08,239.875,241.19,242.504,243.814,245.119,246.417,247.706,248.986,250.254,251.509,252.751,253.977,255.186,256.378,257.552,258.705,259.838,260.95,262.039,263.106,264.149,265.167,266.162,267.13,268.073,268.99,269.879,270.741,271.575,272.38,273.155,273.9,274.614,275.295,275.943,276.556,277.132,277.67,278.168,278.624,279.035,279.399,279.713,279.974,280.179,280.324,280.406,239.834,239.925,240.011,240.095,240.175,240.251,240.324,240.393,240.459,240.521,240.58,240.636,240.688,240.737,240.783,240.826,240.866,240.904,240.938,240.969,240.998,241.024,241.048,241.068,241.087,241.102,241.115,241.125,241.132,241.137,241.138,10425.3,20091.7,241.138
43200,240.753,0.886117,112.336,29025.9,984.361,689.053,1163.79,-29025.9,39754,83619.4,0.0290245,0.0291686,-4.30718e-05,264.054,-4.13718e-08,239.873,241.147,242.419,243.687,244.951,246.209,247.459,248.701,249.932,251.152,252.359,253.553,254.732,255.894,257.039,258.167,259.275,260.363,261.43,262.475,263.497,264.496,265.47,266.419,267.342,268.238,269.106,269.945,270.754,271.532,272.279,272.992,273.67,274.312,274.917,275.483,276.007,276.489,276.925,277.314,277.653,277.94,278.172,278.346,278.46,278.51,278.493,239.834,239.926,240.015,240.1,240.182,240.261,240.337,240.409,240.477,240.543,240.605,240.664,240.72,240.772,240.822,240.868,240.911,240.951,240.989,241.023,241.054,241.083,241.109,241.132,241.152,241.169,241.183,241.195,241.203,241.208,241.209,9926.68,19130.7,241.209
46800,240.785,0.885984,113.363,28165.3,932.905,653.033,2828.97,-28165.3,38359.7,83619.2,0.0280066,0.0281172,-4.15632e-05,263.251,-3.34848e-08,239.872,241.108,242.342,243.574,244.801,246.022,247.236,248.443,249.639,250.826,252,253.162,254.309,255.442,256.558,257.657,258.736,259.798,260.837,261.856,262.851,263.824,264.771,265.693,266.587,267.455,268.292,269.1,269.875,270.618,271.326,271.999,272.634,273.231,273.787,274.301,274.77,275.194,275.568,275.893,276.165,276.383,276.543,276.645,276.685,276.661,276.572,239.834,239.927,240.017,240.104,240.188,240.268,240.346,240.42,240.492,240.56,240.624,240.686,240.745,240.8,240.852,240.901,240.947,240.99,241.03,241.067,241.101,241.132,241.16,241.185,241.206,241.225,241.241,241.253,241.262,241.267,241.269,9428.05,18169.7,241.269
50400,240.811,0.885876,113.905,27364.8,885.063,619.544,3649.43,-27364.8,37061.7,83619.1,0.0270589,0.0271407,-4.016e-05,262.436,-2.66479e-08,239.871,241.072,242.271,243.468,244.66,245.847,247.027,248.2,249.363,250.516,251.658,252.788,253.904,255.005,256.09,257.157,258.207,259.237,260.246,261.234,262.199,263.139,264.055,264.943,265.805,266.637,267.439,268.209,268.946,269.648,270.315,270.944,271.534,272.084,272.591,273.054,273.472,273.842,274.163,274.433,274.651,274.815,274.923,274.974,274.967,274.9,274.772,239.834,239.928,240.018,240.106,240.191,240.273,240.353,240.429,240.502,240.572,240.639,240.703,240.764,240.821,240.876,240.927,240.976,241.021,241.063,241.103,241.139,241.171,241.201,241.228,241.251,241.271,241.288,241.301,241.311,241.317,241.318,8963.4,17274.3,241.318
54000,240.831,0.885792,114.169,26592.9,844.027,590.819,3481.65,-26592.9,35862.3,83618.9,0.0261832,0.0262418,-3.88648e-05,261.634,-2.11216e-08,239.87,241.037,242.203,243.365,244.524,245.677,246.824,247.963,249.093,250.214,251.323,252.42,253.502,254.571,255.623,256.658,257.674,258.671,259.647,260.601,261.532,262.438,263.318,264.171,264.995,265.79,266.554,267.285,267.982,268.644,269.269,269.856,270.403,270.91,271.374,271.795,272.17,272.499,272.78,273.012,273.195,273.328,273.409,273.438,273.416,273.342,273.217,239.834,239.928,240.019,240.108,240.194,240.277,240.357,240.435,240.509,240.581,240.65,240.715,240.778,240.838,240.894,240.948,240.998,241.046,241.09,241.131,241.169,241.203,241.235,241.263,241.287,241.309,241.326,241.34,241.35,241.357,241.359,8564.4,16505.3,241.359
57600,240.848,0.885724,114.374,25831.9,812.526,568.769,2294.97,-25831.9,34773.3,83618.8,0.0253881,0.02543,-3.76859e-05,260.869,-1.70931e-08,239.869,241.003,242.135,243.264,244.389,245.509,246.622,247.728,248.825,249.911,250.987,252.05,253.1,254.134,255.152,256.153,257.135,258.097,259.039,259.957,260.853,261.722,262.567,263.383,264.171,264.928,265.655,266.349,267.009,267.633,268.222,268.772,269.285,269.757,270.189,270.578,270.926,271.229,271.49,271.706,271.879,272.006,272.091,272.132,272.132,272.091,272.011,239.834,239.928,240.02,240.109,240.195,240.279,240.361,240.439,240.515,240.588,240.658,240.725,240.789,240.851,240.909,240.964,241.016,241.065,241.111,241.153,241.193,241.229,241.262,241.291,241.317,241.339,241.357,241.372,241.382,241.389,241.391,8258.24,15915.3,241.391
61200,240.861,0.885669,114.724,25063.6,792.648,554.854,78.5412,-25063.6,33798.9,83618.6,0.0246767,0.0247089,-3.66346e-05,260.17,-1.46633e-08,239.868,240.968,242.066,243.162,244.253,245.339,246.419,247.491,248.554,249.607,250.648,251.678,252.693,253.693,254.676,255.643,256.59,257.518,258.424,259.308,260.168,261.004,261.813,262.595,263.348,264.072,264.765,265.427,266.055,266.649,267.209,267.733,268.221,268.672,269.085,269.461,269.799,270.099,270.361,270.586,270.775,270.929,271.048,271.137,271.195,271.227,271.235,239.834,239.929,240.021,240.11,240.197,240.282,240.364,240.443,240.52,240.594,240.665,240.733,240.799,240.861,240.921,240.977,241.03,241.081,241.128,241.172,241.212,241.25,241.284,241.314,241.341,241.364,241.383,241.398,241.409,241.416,241.418,8065.77,15544.4,241.418
